Execute Anonymous

================================

ScontrolUpgrades.doScontrolUpgrades12_11();

================================

31.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,INFO;DB,INFO;VALIDATION,INFO;WORKFLOW,INFO
Execute Anonymous: ScontrolUpgrades.doScontrolUpgrades12_11();
14:13:41.838 (838402762)|EXECUTION_STARTED
14:13:41.838 (838411060)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
14:13:41.994 (994097668)|METHOD_ENTRY|[5]|01po0000003QBCg|ScontrolUpgrades.ScontrolUpgrades()
14:13:42.020 (1020804560)|METHOD_ENTRY|[2]|01po0000003Oh7F|MetadataUtils.MetadataUtils()
14:13:42.020 (1020900858)|METHOD_EXIT|[2]|MetadataUtils
14:13:42.020 (1020936743)|METHOD_ENTRY|[6]|01po0000003Oh7F|MetadataUtils.createService()
14:13:42.025 (1025648896)|CONSTRUCTOR_ENTRY|[9]|01po0000003Oh7D|<init>()
14:13:42.026 (1026089034)|CONSTRUCTOR_EXIT|[9]|01po0000003Oh7D|<init>()
14:13:42.026 (1026122189)|CONSTRUCTOR_ENTRY|[11]|01po0000003Oh7D|<init>()
14:13:42.026 (1026213047)|CONSTRUCTOR_EXIT|[11]|01po0000003Oh7D|<init>()
14:13:42.030 (1030420711)|METHOD_EXIT|[6]|01po0000003Oh7F|MetadataUtils.createService()
14:13:42.030 (1030435438)|METHOD_EXIT|[5]|ScontrolUpgrades
14:13:42.030 (1030458676)|METHOD_ENTRY|[1]|01po0000003QBCg|ScontrolUpgrades.doScontrolUpgrades12_11()
14:13:42.032 (1032206790)|METHOD_ENTRY|[27]|01po0000003QBCg|ScontrolUpgrades.upgradeRelationshipTree()
14:13:42.058 (1058154136)|METHOD_ENTRY|[1]|01po0000000dllI|Utils.Utils()
14:13:42.061 (1061947446)|METHOD_EXIT|[1]|Utils
14:13:42.061 (1061980718)|METHOD_ENTRY|[35]|01po0000000dllI|Utils.addNamespace(String)
14:13:42.065 (1065140296)|METHOD_ENTRY|[1]|01po0000000dlkU|Constants.Constants()
14:13:42.083 (1083254939)|METHOD_EXIT|[1]|Constants
14:13:42.083 (1083284111)|METHOD_EXIT|[35]|01po0000000dllI|Utils.addNamespace(String)
14:13:42.083 (1083301514)|METHOD_ENTRY|[35]|01po0000000dllI|Utils.addNamespace(String)
14:13:42.083 (1083316279)|METHOD_EXIT|[35]|01po0000000dllI|Utils.addNamespace(String)
14:13:42.083 (1083325642)|METHOD_ENTRY|[35]|01po0000000dllI|Utils.addNamespace(String)
14:13:42.083 (1083336075)|METHOD_EXIT|[35]|01po0000000dllI|Utils.addNamespace(String)
14:13:42.083 (1083385941)|METHOD_ENTRY|[39]|01po0000003Oh7D|MetadataService.MetadataPort.readMetadata(String, List<String>)
14:13:42.085 (1085946741)|CONSTRUCTOR_ENTRY|[8870]|01po0000003Oh7D|<init>()
14:13:42.086 (1086090352)|CONSTRUCTOR_EXIT|[8870]|01po0000003Oh7D|<init>()
